WP_001078461.1|SA0113	PF02423	FAMILY
WP_001078461.1|SA0113	PTHR13812	FAMILY
WP_001078461.1|SA0113	SSF51735	HOMOLOGOUS_SUPERFAMILY
WP_000790331.1|SA1847	PF13407	DOMAIN
WP_000790331.1|SA1847	PF00356	DOMAIN
WP_000790331.1|SA1847	PTHR30146	NULL_TYPE
WP_000790331.1|SA1847	cd01542	NULL_TYPE
WP_000790331.1|SA1847	cd01392	DOMAIN
WP_000790331.1|SA1847	SSF53822	HOMOLOGOUS_SUPERFAMILY
WP_000790331.1|SA1847	SSF47413	HOMOLOGOUS_SUPERFAMILY
WP_000206031.1|SA2325	PF13279	NULL_TYPE
WP_000206031.1|SA2325	PTHR31793	NULL_TYPE
WP_000206031.1|SA2325	cd00586	NULL_TYPE
WP_000206031.1|SA2325	SSF54637	HOMOLOGOUS_SUPERFAMILY
WP_000638870.1|SA0453	G3DSA:3.30.230.10:FF:000029	NULL_TYPE
WP_000638870.1|SA0453	PF00288	DOMAIN
WP_000638870.1|SA0453	G3DSA:3.30.70.890:FF:000006	NULL_TYPE
WP_000638870.1|SA0453	PF08544	DOMAIN
WP_000638870.1|SA0453	PTHR43527	NULL_TYPE
WP_000638870.1|SA0453	SSF54211	HOMOLOGOUS_SUPERFAMILY
WP_000638870.1|SA0453	SSF55060	HOMOLOGOUS_SUPERFAMILY
WP_000382585.1|SA1337	PF14526	DOMAIN
WP_000382585.1|SA1337	PF12833	DOMAIN
WP_000382585.1|SA1337	PTHR47504	NULL_TYPE
WP_000382585.1|SA1337	SSF46689	HOMOLOGOUS_SUPERFAMILY
WP_000382585.1|SA1337	SSF55136	HOMOLOGOUS_SUPERFAMILY
WP_001050913.1|SA1129	G3DSA:3.30.1370.10:FF:000006	NULL_TYPE
WP_001050913.1|SA1129	PF01966	DOMAIN
WP_001050913.1|SA1129	PF12072	DOMAIN
WP_001050913.1|SA1129	G3DSA:1.10.3210.10:FF:000003	NULL_TYPE
WP_001050913.1|SA1129	PF00013	DOMAIN
WP_001050913.1|SA1129	PTHR12826	NULL_TYPE
WP_001050913.1|SA1129	cd00077	DOMAIN
WP_001050913.1|SA1129	cd22431	NULL_TYPE
WP_001050913.1|SA1129	SSF54791	HOMOLOGOUS_SUPERFAMILY
WP_001050913.1|SA1129	SSF109604	NULL_TYPE
WP_000924220.1|SA1386	PF01261	DOMAIN
WP_000924220.1|SA1386	G3DSA:3.20.20.150:FF:000001	NULL_TYPE
WP_000924220.1|SA1386	PTHR21445	FAMILY
WP_000924220.1|SA1386	cd00019	FAMILY
WP_000924220.1|SA1386	SSF51658	HOMOLOGOUS_SUPERFAMILY
WP_001077823.1|SA2475	PF02361	FAMILY
WP_001077823.1|SA2475	PTHR33514	NULL_TYPE
WP_001077823.1|SA2475	cd16914	NULL_TYPE
WP_001028775.1|SA2403	PF03992	DOMAIN
WP_001028775.1|SA2403	PTHR34474	NULL_TYPE
WP_001028775.1|SA2403	SSF54909	HOMOLOGOUS_SUPERFAMILY
WP_001045111.1|SA0111	G3DSA:3.40.50.1980:FF:000003	NULL_TYPE
WP_001045111.1|SA0111	PF01497	DOMAIN
WP_001045111.1|SA0111	PTHR30532	NULL_TYPE
WP_001045111.1|SA0111	cd01146	NULL_TYPE
WP_001045111.1|SA0111	SSF53807	NULL_TYPE
WP_001176863.1|SA2220	PF02595	FAMILY
WP_001176863.1|SA2220	PTHR21599	FAMILY
WP_001176863.1|SA2220	SSF110738	HOMOLOGOUS_SUPERFAMILY
WP_000542320.1|SA1431	PF02661	DOMAIN
WP_000542320.1|SA1431	PTHR13504	FAMILY
WP_000542320.1|SA1431	SSF140931	HOMOLOGOUS_SUPERFAMILY
WP_000704775.1|SA0023	PF02590	FAMILY
WP_000704775.1|SA0023	PTHR33603	FAMILY
WP_000704775.1|SA0023	cd18081	FAMILY
WP_000704775.1|SA0023	SSF75217	HOMOLOGOUS_SUPERFAMILY
WP_000616840.1|SA0690	PF00005	DOMAIN
WP_000616840.1|SA0690	G3DSA:3.40.50.300:FF:000134	NULL_TYPE
WP_000616840.1|SA0690	PTHR42771	NULL_TYPE
WP_000616840.1|SA0690	cd03214	NULL_TYPE
WP_000616840.1|SA0690	SSF52540	HOMOLOGOUS_SUPERFAMILY
WP_000435143.1|SA1506	PF03129	DOMAIN
WP_000435143.1|SA1506	G3DSA:3.30.54.20:FF:000002	NULL_TYPE
WP_000435143.1|SA1506	G3DSA:3.30.930.10:FF:000002	NULL_TYPE
WP_000435143.1|SA1506	G3DSA:3.40.50.800:FF:000001	NULL_TYPE
WP_000435143.1|SA1506	PF07973	DOMAIN
WP_000435143.1|SA1506	G3DSA:3.10.20.30:FF:000005	NULL_TYPE
WP_000435143.1|SA1506	PF02824	DOMAIN
WP_000435143.1|SA1506	G3DSA:3.30.980.10:FF:000005	NULL_TYPE
WP_000435143.1|SA1506	PF00587	DOMAIN
WP_000435143.1|SA1506	PTHR11451	NULL_TYPE
WP_000435143.1|SA1506	cd00860	DOMAIN
WP_000435143.1|SA1506	cd01667	NULL_TYPE
WP_000435143.1|SA1506	cd00771	DOMAIN
WP_000435143.1|SA1506	SSF55186	HOMOLOGOUS_SUPERFAMILY
WP_000435143.1|SA1506	SSF52954	NULL_TYPE
WP_000435143.1|SA1506	SSF55681	HOMOLOGOUS_SUPERFAMILY
WP_000435143.1|SA1506	SSF81271	HOMOLOGOUS_SUPERFAMILY
WP_000882069.1|SA0481	PF02151	DOMAIN
WP_000882069.1|SA0481	PTHR38430	FAMILY
WP_000432915.1|SA2337	PF17910	DOMAIN
WP_000432915.1|SA2337	PF07664	DOMAIN
WP_000432915.1|SA2337	G3DSA:3.40.50.300:FF:001475	NULL_TYPE
WP_000432915.1|SA2337	PF07670	DOMAIN
WP_000432915.1|SA2337	PF02421	DOMAIN
WP_000432915.1|SA2337	PTHR43185	NULL_TYPE
WP_000432915.1|SA2337	cd01879	DOMAIN
WP_000432915.1|SA2337	SSF52540	HOMOLOGOUS_SUPERFAMILY
WP_000640737.1|SA0654	G3DSA:3.40.1190.20:FF:000001	NULL_TYPE
WP_000640737.1|SA0654	PF00294	DOMAIN
WP_000640737.1|SA0654	PTHR46566	NULL_TYPE
WP_000640737.1|SA0654	cd01164	FAMILY
WP_000640737.1|SA0654	SSF53613	HOMOLOGOUS_SUPERFAMILY
WP_012840521.1|SA1538	PF00266	DOMAIN
WP_012840521.1|SA1538	PTHR11601	NULL_TYPE
WP_012840521.1|SA1538	SSF53383	HOMOLOGOUS_SUPERFAMILY
WP_000792417.1|SA0465	PF04977	FAMILY
WP_000792417.1|SA0465	PTHR40027	FAMILY
WP_000248117.1|SA0539	PF17261	FAMILY
WP_000089941.1|SA1121	PF05193	DOMAIN
WP_000089941.1|SA1121	PTHR11851	NULL_TYPE
WP_000089941.1|SA1121	SSF63411	HOMOLOGOUS_SUPERFAMILY
WP_000089941.1|SA1121	SSF63411	HOMOLOGOUS_SUPERFAMILY
WP_001283057.1|SA1390	G3DSA:1.10.601.10:FF:000001	NULL_TYPE
WP_001283057.1|SA1390	PF04542	DOMAIN
WP_001283057.1|SA1390	PF03979	DOMAIN
WP_001283057.1|SA1390	G3DSA:1.10.10.10:FF:000004	NULL_TYPE
WP_001283057.1|SA1390	G3DSA:1.10.10.10:FF:000002	NULL_TYPE
WP_001283057.1|SA1390	PF00140	DOMAIN
