1	NP_214515.1	NP_214515.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	F	1_tu
2	NP_214515.1	NP_214516.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	F	2_tu
3	NP_214515.1	NP_214517.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	F	2_tu
2_tu	NP_214515.1	NP_214518.1	New	NOT_REFR_ORG	NOT_REFR_NUM	NULL	F	2_tu
4	NP_214515.1	NP_217913.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	R	3_tu
3_tu	NP_214515.1	NP_217914.1	New	NOT_REFR_ORG	NOT_REFR_NUM	NULL	R	3_tu
5	NP_214515.1	NP_217928.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	NOT_STRAND	NOT_TU_REFER
3_tu	NP_214515.1	YP_177970.1	New	NOT_REFR_ORG	NOT_REFR_NUM	NULL	R	3_tu
6	NP_214631.1	NP_214631.1	Known	Ecoli	2716	1	F	4_tu
2_new	NP_214631.1	NP_215282.1	New	Ecoli	2707	1	F	5_tu
5_tu	NP_214631.1	NP_215283.1	New	NOT_REFR_ORG	NOT_REFR_NUM	NULL	F	5_tu
1029	NP_214631.1	NP_216423.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	R	6_tu
7	NP_214631.1	NP_216424.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	R	6_tu
1030	NP_214631.1	NP_216425.2	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	R	6_tu
1031	NP_214631.1	NP_216426.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	R	7_tu
1032	NP_214631.1	NP_216427.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	R	8_tu
1033	NP_214631.1	NP_216428.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	R	9_tu
8	NP_214631.1	NP_216944.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	F	10_tu
1802	NP_214631.1	NP_216945.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	F	10_tu
3_new	NP_214631.1	NP_217105.1	New	Ecoli	2709	1	F	11_tu
1034	NP_214631.1	NP_217446.2	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	F	12_tu
1035	NP_214631.1	NP_217447.1	Known	NOT_REFR_ORG	NOT_REFR_NUM	NULL	F	12_tu
